username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
brexit_clock,,"Time until BREXIT is 453 days, 22 hours, 59 minutes and 59 seconds #BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE #ScotRef #Indyref #Indyref2",0,0,0,947255948137193472,https://twitter.com/brexit_clock/status/947255948137193472,931571397280845824,2017-12-30 23:59:51+00:00,Sat Dec 30 23:59:51 +0000 2017,#BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE #ScotRef #Indyref #Indyref2,,,
Antisaint13,dianemholden,"*in your opinion. Short term, Brexit may be crap or shit. We don't know. Long term, we don't know. I do know I want it to work for all",0,0,1,947255900745732096,https://twitter.com/Antisaint13/status/947255900745732096,228168499,2017-12-30 23:59:40+00:00,Sat Dec 30 23:59:40 +0000 2017,,,,
dianehain,,"We absolutely must stay strong. I support the Labour Leader, and believe Jeremy will do the right thing for the UK. He has given Keir Starmer his head on Brexit &amp; I believe he will steer the right course for the country for the many. #StopBrexit",0,0,1,947255890020913152,https://twitter.com/dianehain/status/947255890020913152,100561484,2017-12-30 23:59:38+00:00,Sat Dec 30 23:59:38 +0000 2017,#StopBrexit,,,
ELREDubai,,Upside of Brexit for resident in the UAE ,0,0,0,947255889865605121,https://twitter.com/ELREDubai/status/947255889865605121,624588188,2017-12-30 23:59:37+00:00,Sat Dec 30 23:59:37 +0000 2017,,,,https://www.exclusive-links.com/blog/upside-of-brexit-for-resident-in-the-uae/
SimonsAdviser,DickMackintosh,Nonsense! Yes! From deluded folk who think Brexit is linked to Vladimir Putin. Nice try though.,0,0,3,947255869858861056,https://twitter.com/SimonsAdviser/status/947255869858861056,448516309,2017-12-30 23:59:33+00:00,Sat Dec 30 23:59:33 +0000 2017,,,,
arcofprosperity,,Seen elsewhere: Adonis on Brexit: ‘No mandarin backs May. Government has broken down’ | The Guardian http://dlvr.it/Q8GBWJ #ScotRef,1,0,0,947255868914987008,https://twitter.com/arcofprosperity/status/947255868914987008,475747980,2017-12-30 23:59:32+00:00,Sat Dec 30 23:59:32 +0000 2017,#ScotRef,,,http://dlvr.it/Q8GBWJ
JM_Wentworth,,"9/11, Afghanistan, Iraq, Russia-Georgia, Arab Spring, Ukraine/Crimea, Brexit, Trump, Zimbabwe et. al. are all hugely significant. This century has been non-stop! https://twitter.com/DouglasCarswell/status/947233461730988033",0,0,0,947255851420737537,https://twitter.com/JM_Wentworth/status/947255851420737537,507631388,2017-12-30 23:59:28+00:00,Sat Dec 30 23:59:28 +0000 2017,,,,https://twitter.com/DouglasCarswell/status/947233461730988033
Simon_Gardner,stephenslack,"No Corbyn, no Brexit. Next.",0,0,1,947255831850094592,https://twitter.com/Simon_Gardner/status/947255831850094592,24859059,2017-12-30 23:59:24+00:00,Sat Dec 30 23:59:24 +0000 2017,,,,
HamburgersnH,,"Archive: ""Theresa May, A Historical Artefact or Future Wonder of the World? ""https://goo.gl/9hwtvq #Brexit #Britian #British #England",0,0,0,947255817031610373,https://twitter.com/HamburgersnH/status/947255817031610373,3412983585,2017-12-30 23:59:20+00:00,Sat Dec 30 23:59:20 +0000 2017,#Brexit #Britian #British #England,,,https://goo.gl/9hwtvq
GrumpyBess,,George Osborne says Brexit outcome up for grabs on Today http://dlvr.it/Q8GBQf,0,0,0,947255744197378048,https://twitter.com/GrumpyBess/status/947255744197378048,4069216569,2017-12-30 23:59:03+00:00,Sat Dec 30 23:59:03 +0000 2017,,,,http://dlvr.it/Q8GBQf
SmartSolicitors,MayBotPrime,Thank you prime minister for dealing with Brexit with courage,0,0,0,947255728749928448,https://twitter.com/SmartSolicitors/status/947255728749928448,893103126714224640,2017-12-30 23:58:59+00:00,Sat Dec 30 23:58:59 +0000 2017,,,,
courier_michael,mfowmes,"Probably is, his ability to get into office is still reliant on how unpopular the Tories will be post Brexit, as I said before means to an end.",0,0,1,947255708915027975,https://twitter.com/courier_michael/status/947255708915027975,703446271667871744,2017-12-30 23:58:54+00:00,Sat Dec 30 23:58:54 +0000 2017,,,,
