"DB010","DB020","DB030","DB040","DB062","DB090"
"2012","BE",22,"BE10","NA","592.6031"
"2012","BE",28,"BE10","NA","650.6023"
"2012","BE",36,"BE10","NA","683.1741"
"2012","BE",43,"BE10","NA","2315.627"
"2012","BE",50,"BE10","NA","440.5861"
"2012","BE",54,"BE10","NA","1165.837"
"2012","BE",65,"BE10","NA","761.5853"
"2012","BE",73,"BE10","NA","770.0366"
"2012","BE",77,"BE10","NA","859.4775"
"2012","BE",79,"BE10","NA","1481.629"
"2012","BE",83,"BE10","NA","395.6317"
"2012","BE",88,"BE10","NA","386.0127"
"2012","BE",115,"BE10","NA","413.6408"
"2012","BE",142,"BE10","NA","277.1715"
"2012","BE",146,"BE10","NA","1755.53"
"2012","BE",155,"BE10","NA","1093.138"
"2012","BE",159,"BE10","NA","1082.999"
"2012","BE",222,"BE10","NA","1279.652"
"2012","BE",242,"BE10","NA","1067.759"
"2012","BE",243,"BE10","NA","1755.844"
"2012","BE",279,"BE10","NA","408.0554"
"2012","BE",298,"BE10","NA","872.1514"
"2012","BE",301,"BE10","NA","2162.958"
"2012","BE",313,"BE10","NA","1289.799"
"2012","BE",317,"BE10","NA","1162.512"
"2012","BE",346,"BE10","NA","831.4535"
"2012","BE",349,"BE10","NA","1360.772"
"2012","BE",358,"BE10","NA","1203.152"
"2012","BE",368,"BE10","NA","1074.165"
"2012","BE",372,"BE10","NA","575.8871"
"2012","BE",400,"BE10","NA","1105.086"
"2012","BE",407,"BE10","NA","619.7156"
"2012","BE",410,"BE10","NA","410.3113"
"2012","BE",412,"BE10","NA","1890.736"
"2012","BE",435,"BE10","NA","492.6181"
"2012","BE",503,"BE10","NA","3724.037"
"2012","BE",517,"BE10","NA","332.2153"
"2012","BE",530,"BE10","NA","2087.726"
"2012","BE",542,"BE10","NA","2791.138"
"2012","BE",554,"BE10","NA","699.2729"
"2012","BE",579,"BE10","NA","922.5783"
"2012","BE",583,"BE10","NA","2011.572"
"2012","BE",587,"BE10","NA","846.3346"
"2012","BE",591,"BE10","NA","1359.885"
"2012","BE",594,"BE10","NA","797.6337"
"2012","BE",635,"BE10","NA","369.021"
"2012","BE",647,"BE10","NA","1657.818"
"2012","BE",652,"BE10","NA","744.9497"
"2012","BE",658,"BE10","NA","840.7816"
"2012","BE",663,"BE10","NA","673.9551"
"2012","BE",703,"BE10","NA","1117.196"
"2012","BE",709,"BE10","NA","779.9228"
"2012","BE",747,"BE10","NA","1287.436"
"2012","BE",752,"BE10","NA","492.7148"
"2012","BE",769,"BE10","NA","775.8538"
"2012","BE",808,"BE10","NA","892.5804"
"2012","BE",813,"BE10","NA","2931.418"
"2012","BE",818,"BE10","NA","1750.855"
"2012","BE",844,"BE10","NA","1478.579"
"2012","BE",858,"BE10","NA","491.2381"
"2012","BE",860,"BE10","NA","696.561"
"2012","BE",861,"BE10","NA","536.3764"
"2012","BE",881,"BE10","NA","548.974"
"2012","BE",902,"BE10","NA","526.9514"
"2012","BE",906,"BE10","NA","992.376"
"2012","BE",911,"BE10","NA","920.6888"
"2012","BE",933,"BE10","NA","1457.137"
"2012","BE",951,"BE10","NA","830.6132"
"2012","BE",963,"BE10","NA","615.8405"
"2012","BE",973,"BE10","NA","776.1741"
"2012","BE",981,"BE10","NA","597.6422"
"2012","BE",986,"BE10","NA","797.1877"
"2012","BE",991,"BE10","NA","645.2771"
"2012","BE",1017,"BE10","NA","2058.775"
"2012","BE",1023,"BE10","NA","874.5841"
"2012","BE",1024,"BE10","NA","2331.069"
"2012","BE",1049,"BE10","NA","1607.618"
"2012","BE",1055,"BE10","NA","1061.242"
"2012","BE",1062,"BE10","NA","1185.699"
"2012","BE",1064,"BE10","NA","1397.848"
"2012","BE",1084,"BE10","NA","1789.635"
"2012","BE",1096,"BE10","NA","1496.216"
"2012","BE",1169,"BE10","NA","2058.748"
"2012","BE",1220,"BE10","NA","836.1086"
"2012","BE",1225,"BE10","NA","1089.049"
"2012","BE",1240,"BE10","NA","801.1147"
"2012","BE",1262,"BE10","NA","1014.531"
"2012","BE",1301,"BE10","NA","688.9155"
"2012","BE",1312,"BE10","NA","4548.525"
"2012","BE",1357,"BE10","NA","1543.466"
"2012","BE",1361,"BE10","NA","1030.219"
"2012","BE",1375,"BE10","NA","630.7156"
"2012","BE",1377,"BE10","NA","548.1198"
"2012","BE",1410,"BE10","NA","725.3828"
"2012","BE",1423,"BE10","NA","1890.736"
"2012","BE",1427,"BE10","NA","823.6893"
"2012","BE",1442,"BE10","NA","1313.527"
"2012","BE",1445,"BE10","NA","1688.121"
"2012","BE",1449,"BE10","NA","1005.555"
"2012","BE",1451,"BE10","NA","715.7132"
"2012","BE",1470,"BE10","NA","1001.566"
"2012","BE",1484,"BE10","NA","790.7427"
"2012","BE",1492,"BE10","NA","921.8177"
"2012","BE",1498,"BE10","NA","693.6326"
"2012","BE",1501,"BE10","NA","554.3932"
"2012","BE",1514,"BE10","NA","975.9266"
"2012","BE",1517,"BE10","NA","1440.43"
"2012","BE",1521,"BE10","NA","1168.41"
"2012","BE",1546,"BE10","NA","930.4071"
"2012","BE",1565,"BE10","NA","2045.355"
"2012","BE",1569,"BE10","NA","1310.506"
"2012","BE",1571,"BE10","NA","1668.686"
"2012","BE",1619,"BE10","NA","661.2212"
"2012","BE",1687,"BE10","NA","560.6178"
"2012","BE",1689,"BE10","NA","758.1501"
"2012","BE",1699,"BE10","NA","754.6446"
"2012","BE",1728,"BE10","NA","1546.53"
"2012","BE",1753,"BE10","NA","402.7621"
"2012","BE",1760,"BE10","NA","780.1308"
"2012","BE",1793,"BE10","NA","1221.577"
"2012","BE",1797,"BE10","NA","765.8131"
"2012","BE",1801,"BE10","NA","1067.836"
"2012","BE",1807,"BE10","NA","331.8387"
"2012","BE",1808,"BE10","NA","475.0395"
"2012","BE",1815,"BE10","NA","753.7416"
"2012","BE",1832,"BE10","NA","755.9845"
"2012","BE",1838,"BE10","NA","710.9954"
"2012","BE",1843,"BE10","NA","704.5626"
"2012","BE",1857,"BE10","NA","1506.318"
"2012","BE",1865,"BE10","NA","663.7077"
"2012","BE",1879,"BE10","NA","627.0421"
