"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2012","BE",221,616.136363636364,"4",1931,"1","1","4","1","11","NA","NA","35","11","NA","NA","0",80,80,22,"0.8380952381","0","0","0"
"2012","BE",281,616.136363636364,"1",1948,"2","1","1","1","11","NA","NA","NA","NA","NA","0","NA",63,63,28,"0.7222801024","0","0","0"
"2012","BE",361,616.136363636364,"2",1956,"1","1","4","1","14","NA","NA","NA","NA","NA","NA","NA",55,55,36,"0","1","0","100"
"2012","BE",431,616.136363636364,"4",1947,"2","1","1","4","11","NA","NA","NA","NA","NA","NA","NA",64,64,43,"0.9428571429","0","0","111"
"2012","BE",501,616.136363636364,"3",1985,"2","1","2","4","NA","NA","NA","NA","NA","NA","NA","NA",26,26,50,"0.2285714286","0","0","0"
"2012","BE",541,616.136363636364,"4",1986,"1","1","2","4","11","NA","NA","NA","NA","0","NA","NA",26,25,54,"1","0","0","0"
"2012","BE",651,616.136363636364,"3",1978,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",33,33,65,"0.5","0","0","0"
"2012","BE",731,616.136363636364,"3",1975,"2","1","4","4","11","NA","NA","NA","NA","NA","NA","NA",37,36,73,"99","0","0","0"
"2012","BE",771,616.136363636364,"1",1990,"1","1","4","1","11","NA","NA","25","0","NA","NA","NA",21,21,77,"0","0","0","0"
"2012","BE",791,616.136363636364,"2",1948,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",64,63,79,"99","0","1","0"
"2012","BE",831,616.136363636364,"4",1963,"2","1","4","1","11","NA","NA","NA","NA","0","NA","NA",48,48,83,"1","2","0","0"
"2012","BE",881,616.136363636364,"3",1931,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,88,"1","0","0","0"
"2012","BE",1151,616.136363636364,"4",1975,"1","1","4","1","11","NA","NA","NA","NA","NA","0","NA",37,36,115,"1","0","0","0"
"2012","BE",1421,616.136363636364,"2",1981,"1","1","1","1","11","NA","NA","NA","NA","0","NA","NA",31,30,142,"0.6666666667","0","0","0"
"2012","BE",1461,616.136363636364,"1",1988,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",24,23,146,"99","0","0","0"
"2012","BE",1551,616.136363636364,"4",1958,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",53,53,155,"0.7285714286","0","0","100"
"2012","BE",1591,616.136363636364,"2",1982,"1","1","3","1","11","NA","NA","NA","6","NA","0","NA",29,29,159,"0.3896825397","2","0","0"
"2012","BE",2221,616.136363636364,"1",1943,"1","1","1","4","11","NA","NA","32","NA","NA","NA","NA",69,68,222,"1","0","0","0"
"2012","BE",2421,616.136363636364,"3",1986,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",25,25,242,"1","1","0","0"
"2012","BE",2431,616.136363636364,"1",1940,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",71,71,243,"0.6666666667","1","0","0"
"2012","BE",2791,616.136363636364,"2",1962,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",49,49,279,"99","0","0","0"
"2012","BE",2981,616.136363636364,"3",1986,"2","1","3","4","11","NA","NA","NA","NA","NA","NA","NA",25,25,298,"0.9","2","1","0"
"2012","BE",3011,616.136363636364,"2",1973,"2","1","2","1","NA","NA","NA","NA","NA","NA","NA","NA",38,38,301,"0.875","0","1","0"
"2012","BE",3131,616.136363636364,"3",1958,"1","1","2","1","11","NA","NA","NA","NA","0","NA","NA",54,53,313,"0","1","0","0"
"2012","BE",3171,616.136363636364,"1",1947,"2","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA",65,64,317,"99","0","0","1"
"2012","BE",3461,616.136363636364,"2",1947,"1","1","2","4","11","NA","NA","NA","4","NA","NA","NA",65,64,346,"99","2","0","0"
"2012","BE",3491,616.136363636364,"3",1931,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,349,"99","0","1","10"
"2012","BE",3581,616.136363636364,"2",1954,"2","1","3","1","11","NA","NA","NA","NA","NA","NA","NA",58,57,358,"1","0","0","101"
"2012","BE",3681,616.136363636364,"2",1942,"2","1","1","1","NA","NA","NA","NA","NA","NA","NA","0",69,69,368,"0.3402850128","0","0","0"
"2012","BE",3721,616.136363636364,"2",1931,"1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA",80,80,372,"1","0","0","0"
"2012","BE",4001,616.136363636364,"1",1974,"1","1","3","1","11","NA","NA","NA","NA","NA","0","0",37,37,400,"0.5714285714","0","0","0"
"2012","BE",4071,616.136363636364,"2",1965,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",47,46,407,"0.5714285714","0","0","0"
"2012","BE",4101,616.136363636364,"2",1965,"2","1","1","4","11","NA","NA","NA","NA","NA","NA","NA",47,46,410,"99","0","0","0"
"2012","BE",4121,616.136363636364,"2",1941,"2","1","3","1","11","NA","36","NA","NA","NA","NA","NA",71,70,412,"99","0","1","0"
"2012","BE",4351,616.136363636364,"1",1959,"1","1","3","1","11","NA","NA","NA","NA","NA","NA","NA",53,52,435,"0.9571428571","2","0","0"
"2012","BE",5031,616.136363636364,"1",1944,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",68,67,503,"0.9285714286","1","1","0"
"2012","BE",5171,616.136363636364,"4",1986,"1","1","3","1","11","NA","NA","NA","NA","NA","NA","0",26,25,517,"1","0","0","0"
