"RB010","RB020","RB030","RB031","RB031_F","RB050","RB050_F","RB070","RB070_F","RB080","RB080_F","RB090","RB090_F","RB200","RB200_F","RB210","RB210_F","RB220","RB220_F","RB230","RB230_F","RB240","RB240_F","RB245","RB245_F","RB250","RB250_F","RB260","RB260_F","RB270","RB270_F","RL010","RL010_F","RL020","RL020_F","RL030","RL030_F","RL040","RL040_F","RL050","RL050_F","RL060","RL060_F","RL070","RL070_F","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2013","DE","35601",,,3057.58318739054,,,,1977,,"1",,"1",,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","44701",,,3057.58318739054,,,,1936,,"1",,"1",,"3",,,,,,,,,,,,"4",,,,,,,,,,,,,,"0",,,,,,,,,,
"2013","DE","59901",,,3057.58318739054,,,,1952,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","71101",,,3057.58318739054,,,,1938,,"2",,"1",,"4",,,,,,,,,,"11",,"4",,,,"0",,,,,,,,"0",,,,,,,,,,,,
"2013","DE","79501",,,3057.58318739054,,,,1950,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","89601",,,3057.58318739054,,,,1956,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","108201",,,3057.58318739054,,,,1939,,"2",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","122501",,,3057.58318739054,,,,1961,,"2",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","127701",,,3057.58318739054,,,,1940,,"2",,"1",,"1",,,,,,,,,,"11",,"5",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","131301",,,3057.58318739054,,,,1945,,"2",,"1",,"1",,,,,,,,,,"11",,,,,,,,,,,,,,"0",,"0",,,,,,,,,,
"2013","DE","236201",,,3057.58318739054,,,,1981,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,"25",,,,,,,,,,,,,,
"2013","DE","256901",,,3057.58318739054,,,,1960,,"1",,"2",,"1",,,,,,,,,,"11",,"4",,,,,,"25",,,,,,,,,,,,,,,,,,
"2013","DE","402001",,,3057.58318739054,,,,1948,,"2",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,"30",,,,,,"0",,,,,,,,,,,,
"2013","DE","407501",,,3057.58318739054,,,,1963,,"2",,"1",,"4",,,,,,,,,,"11",,"5",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","451901",,,3057.58318739054,,,,1965,,"1",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","481201",,,3057.58318739054,,,,1957,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,"0",,,,,,,,,,
