,PB030: PERSONAL ID,PB020: COUNTRY,PB010: YEAR OF THE SURVEY,PB140: YEAR OF BIRTH,PB150: SEX,PB190: MARITAL STATUS,PB200: CONSENSUAL UNION,PB220A: CITIZENSHIP,PE010: CURRENT EDUCATION ACTIVITY,PE040: HIGHEST ISCED LEVEL ATTAINED,PL031: SELF-DEFINED CURRENT ECONOMIC STATUS,PL035: WORKED AT LEAST 1 HOUR DURING THE PREVIOUS WEEK,PL051: OCCUPATION (ISCO-08 (COM)),PL150: MANAGERIAL POSITION,PH010: GENERAL HEALTH,PH020: SUFFER FROM ANY A CHRONIC (LONG-STANDING) ILLNESS OR CONDITION,PH030: LIMITATION IN ACTIVITIES BECAUSE OF HEALTH PROBLEMS,PH040: UNMET NEED FOR MEDICAL EXAMINATION OR TREATMENT,PH060: UNMET NEED FOR DENTAL EXAMINATION OR TREATMENT,PY010G_PY020G_PY021G_PY050G: EMPLOYEE INCOME,PY035G: CONTRIBUTIONS TO INDIVIDUAL PRIVATE PENSION PLANS,PY080G: PENSION FROM INDIVIDUAL PRIVATE PLANS,PY090G++: SOCIAL BENEFITS,PY090G: UNEMPLOYMENT BENEFITS,PY100G: OLD-AGE BENEFITS,PY110G: SURVIVOR’ BENEFITS,PY120G: SICKNESS BENEFITS,PY130G: DISABILITY BENEFITS,PY140G: EDUCATION-RELATED ALLOWANCES,PD020: Replace worn-out clothes by some new (not second-hand) ones,PD030: Two pairs of properly fitting shoes,PD050: Get-together with friends/family (relatives) for a drink/meal at least once a month,PD060: Regularly participate in a leisure activity,PD070: Spend a small amount of money each week on yourself,PD080: Internet connection for personal use at home,PW130: TRUST IN THE POLITICAL SYSTEM
0,35601,DE,2013,1977,1,2.0,3,0,2,3.0,1.0,2,52.0,1.0,1.0,1.0,3.0,2,2,37262.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0
1,44701,DE,2013,1936,1,2.0,1,0,2,2.0,7.0,1,62.0,2.0,3.0,2.0,2.0,2,2,0.0,85,0.0,18846.06,0.0,18846.06,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,7.0
2,59901,DE,2013,1952,2,2.0,3,0,1,5.0,11.0,2,23.0,2.0,3.0,2.0,3.0,2,2,0.0,0,0.0,9336.96,0.0,0.0,9336.96,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0
3,71101,DE,2013,1938,2,2.0,3,0,2,2.0,7.0,1,51.0,2.0,5.0,2.0,3.0,2,2,0.0,0,0.0,11999.28,0.0,11999.28,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,5.0
4,79501,DE,2013,1950,2,5.0,3,0,2,3.0,1.0,1,44.0,2.0,1.0,2.0,3.0,2,2,23516.66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0
5,89601,DE,2013,1956,1,5.0,1,0,1,5.0,3.0,1,23.0,1.0,2.0,2.0,2.0,2,2,78994.01,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0
6,108201,DE,2013,1939,2,5.0,1,1,2,2.0,7.0,2,44.0,2.0,2.0,2.0,2.0,2,1,0.0,52,0.0,28073.12,0.0,28073.12,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,-1.0
7,122501,DE,2013,1961,2,2.0,3,0,2,4.0,2.0,2,31.0,1.0,3.0,1.0,3.0,2,2,43788.77,4360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0
8,127701,DE,2013,1940,2,4.0,3,0,1,3.0,7.0,1,31.0,2.0,2.0,2.0,3.0,2,2,0.0,0,0.0,3153.09,0.0,3153.09,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
9,131301,DE,2013,1945,2,2.0,1,0,2,3.0,7.0,2,24.0,2.0,2.0,2.0,2.0,-1,2,0.0,1612,0.0,24300.05,0.0,24300.05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0
10,236201,DE,2013,1981,1,1.0,3,0,2,3.0,6.0,2,31.0,1.0,4.0,2.0,2.0,2,2,5180.63,723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0
