Barragem_Nome,Barragem_Altura_AcimaNivelTerreno,Barragem_Capacidade,Barragem_Principal_Tipo_material,Barragem_Principal_comprimento,Uso_principal,Barragem_Categoria_Risco,Barragem_Dano_Potencial_Associado,TemPAE,TemPlanoSeguranca,TemRevisaoPeriodica,CriterioVazaoProjeto_OrgaoExtravasor,TemProjetoExecutivo,TemProjetoComo construido,TemProjetoBasico,TemProjetoConceitual,TemEclusa,Barragem_FasedeVida,ReguladaPNSB,Barragem Pública ou particular,Submetida à algum regulamento?,material_score,risco_score,DPA_score,temPAE_score,temPS_score,maintenance_score,vazao_score,doc_score,Eclusa_score
Barragem Luiz Carlos,15.0,1.321,"terra, enrocamento ou outros",556.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Albino Weyer,11.0,1.205,"terra, enrocamento ou outros",460.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Pulmão Agriter,20.0,11.08,"terra, enrocamento ou outros",540.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,sim,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,4.0,0.0
Barragem Wehrmann,21.0,10.075,"terra, enrocamento ou outros",798.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,sim,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,4.0,0.0
Barragem Gerson Gonçalves,21.0,5.827,"terra, enrocamento ou outros",330.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem SAE Catalão,18.0,4.558,"terra, enrocamento ou outros",245.0,abastecimento humano,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Pública,Não,3.0,,,,,,10,6.0,0.0
Barragem João Leite Saneago,46.5,129.0,concreto convencional,451.0,abastecimento humano,,,,,,cheia máxima provável,não,não,sim,sim,não,operação,sim,Estatal não dependente,Não,1.0,,,,,,3,4.0,0.0
Barragem José Fava,21.0,1.88,"terra, enrocamento ou outros",338.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,sim,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem Oli Fiorese,11.0,0.79,"terra, enrocamento ou outros",281.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
Barragem 3 Alexandre Funari,11.0,1.574,"terra, enrocamento ou outros",400.0,irrigação,,,,,,não confiável ou < 500 anos,não,não,não,sim,não,operação,,Particular,Não,3.0,,,,,,10,6.0,0.0
