Barragem_Nome,Barragem_Altura_AcimaNivelTerreno,Barragem_Capacidade,Barragem_Principal_Tipo_material,Barragem_Principal_comprimento,Uso_principal,Barragem_UF,Barragem_Municipio,Barragem_Categoria_Risco,Barragem_Dano_Potencial_Associado,TemPAE,TemPlanoSeguranca,TemRevisaoPeriodica,TemProjetoExecutivo,TemProjetoComo construido,TemProjetoBasico,TemProjetoConceitual,TemEclusa,Barragem_FasedeVida,ReguladaPNSB,Submetida à algum regulamento?,Houve alguma fiscalização no período deste RSB?
Caldeirões,29.0,18.79,terra,296.84,irrigação,AL,Palmeira dos Índios,médio,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Sim
Cocorobó,33.5,245.376,terra,1320.0,abastecimento humano,BA,Canudos/Euclides da Cunha,alto,alto,não,não,não,não,sim,não,não,não,operação,sim,Sim,Sim
Rio Paranã,33.0,170.0,terra,1760.0,irrigação,GO,Formosa e São João D’Aliança,médio,alto,não,não,não,sim,não,não,não,não,operação,sim,Sim,Sim
Berizal,41.0,339.39,terra,520.0,regularização de vazão,MG,Berizal e São João do Paraíso,não se aplica,alto,não,não,não,não,não,não,não,não,construção,sim,Sim,Não
Gasparino,23.33,48.608,concreto convencional,1074.34,abastecimento humano,BA,Coronel João Sá,médio,alto,sim,não,não,não,não,sim,não,não,operação,sim,Sim,Sim
Baião,14.7,39.227,terra,1491.52,abastecimento humano,PB,Belém do Brejo do Cruz,alto,alto,não,não,não,sim,não,não,não,não,operação,sim,Sim,Sim
Cacimba da Várzea,22.33,9.264,terra,310.47,regularização de vazão,PB,Solânea,alto,alto,não,não,não,sim,não,não,não,não,operação,sim,Sim,Sim
Capoeira,36.0,53.45,terra,489.87,abastecimento humano,PB,Mãe d'Água,alto,alto,não,não,não,sim,não,não,não,não,operação,sim,Sim,Sim
Coremas,50.0,720.0,terra,1550.0,regularização de vazão,PB,Coremas,médio,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Não
Curimataú,15.18,5.99,terra,359.8,abastecimento humano,PB,Barra de Santa Rosa,médio,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Sim
Escondido I,12.46,16.58,terra,1200.0,abastecimento humano,PB,Belém do Brejo do Cruz,médio,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Sim
Felismina Queiroz,13.0,2.06,terra,391.07,abastecimento humano,PB,Seridó,médio,alto,não,não,não,sim,não,não,não,não,operação,sim,Sim,Não
Engenheiro Egberto Carneiro da Cunha,35.0,640.0,concreto convencional,175.0,regularização de vazão,PB,Coremas,médio,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Não
Poleiros,25.0,7.93,terra,430.88,abastecimento humano,PB,Barra de Santa Rosa,alto,alto,não,não,não,sim,não,não,não,não,operação,sim,Sim,Sim
Santa Inês,37.7,26.12,terra,412.0,abastecimento humano,PB,Santa Inês,médio,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Sim
Santa Luzia (Tartaruga),15.18,11.72,terra,382.0,abastecimento humano,PB,Santa Luzia,médio,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Sim
Santa Rosa,9.18,2.84,terra,891.85,abastecimento humano,PB,Brejo do Cruz,médio,alto,não,não,não,sim,não,não,não,não,operação,sim,Sim,Não
São Mamede,14.9,15.79,terra,742.03,abastecimento humano,PB,São Mamede,alto,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Sim
Várzea Grande,24.97,21.533,concreto compactado a rolo  (ccr),544.75,abastecimento humano,PB,Picuí,médio,alto,não,não,não,sim,não,não,não,não,operação,sim,Sim,Sim
Carnaúba,19.0,25.711,concreto convencional,550.0,abastecimento humano,RN,São João do Sabugi,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Dinamarca,8.3,6.0,alvenaria,314.89,abastecimento humano,RN,Serra Negra do Norte,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Eng. Armando Ribeiro Gonçalves,41.0,2400.0,terra,2553.0,regularização de vazão,RN,Açu,médio,alto,não,não,não,sim,não,não,não,não,operação,sim,Sim,Não
Esguicho,19.59,27.937,terra,598.83,abastecimento humano,RN,Ouro Branco,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Itans,25.0,81.75,terra,1344.72,regularização de vazão,RN,Caicó,médio,alto,não,não,não,não,sim,não,não,não,operação,sim,Sim,Sim
Japi II,20.55,20.649,terra,408.4,regularização de vazão,RN,São José de Capestre,alto,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Sim
Ministro João Alves (Boq. de Parelhas),29.0,85.013,terra-enrocamento,533.44,abastecimento humano,RN,Parelhas,alto,alto,não,não,não,sim,não,não,não,não,operação,sim,Sim,Sim
Passagem das Traíras,25.5,49.702,concreto compactado a rolo  (ccr),458.0,abastecimento humano,RN,São José do Seridó,alto,alto,não,não,não,sim,não,não,não,não,operação,sim,Sim,Não
Sabugi,20.5,65.334,terra,180.0,abastecimento humano,RN,São João do Sabugi,médio,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Sim
Eng. Francisco Saboia (Poço da Cruz),42.5,504.0,enrocamento,1250.0,regularização de vazão,PE,Ibimirim,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Inhumas I,11.95,7.87,concreto convencional,98.11,abastecimento humano,PE,Palmeirina,alto,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Sim
Estreito,28.0,75.86,terra,1091.0,abastecimento humano,BA,Urandi,médio,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Sim
Jaburu I,51.75,138.12,terra,680.58,regularização de vazão,CE,Ubajara,alto,alto,sim,não,não,sim,não,não,não,não,operação,sim,Sim,Sim
Governador Dionísio Machado,20.0,15.0,concreto convencional,471.19,abastecimento humano,SE,Lagarto,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
Cachoeira I,21.5,5.95,terra,397.22,regularização de vazão,PE,Sertania,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Não
Cajarana,14.5,2.59,terra,351.34,irrigação,PE,Garanhuns/Capoeiras,médio,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Não
Marechal Dutra (Gargalheiras),26.5,44.42,concreto convencional,180.0,abastecimento humano,RN,Acari,médio,alto,não,não,não,não,não,sim,não,não,operação,sim,Sim,Não
Bonsucesso,10.2,3.2,terra,465.26,abastecimento humano,PB,Sossêgo,médio,alto,não,não,não,não,não,não,não,não,operação,sim,Sim,Sim
