,Gender,Geographic Region,Loyalty Status,Neighborhood Cluster-7 Level,Affluence Grade,Age,Loyalty Card Tenure,Organics Purchase Count,Organics Purchase Indicator,Total Spend
0,0,0,2,3,5,70,8,1,1,0.02
1,1,0,3,5,10,65,7,1,1,0.01
2,0,0,3,0,11,68,8,0,0,0.01
3,0,0,3,0,11,74,8,0,0,0.01
4,1,1,3,3,13,62,5,0,0,0.01
5,1,0,2,5,10,62,3,0,0,2038.76
6,0,1,0,5,7,60,2,0,0,11000.0
7,0,0,2,5,9,51,11,0,0,300.0
8,0,3,3,2,6,64,9,0,0,0.01
9,0,3,3,2,16,37,4,2,1,0.01
10,1,0,2,3,8,54,1,0,0,1420.0
11,0,0,0,1,5,70,8,0,0,6104.66
12,0,0,2,5,9,66,12,0,0,500.0
13,0,0,0,1,9,74,2,0,0,6000.0
14,1,3,2,3,7,66,5,0,0,1000.0
15,0,3,3,3,6,46,8,0,0,0.01
16,1,0,2,1,7,75,7,0,0,4000.0
17,1,1,3,5,7,43,5,1,1,0.01
18,0,0,0,2,7,62,4,0,0,20000.0
19,1,4,2,1,8,37,9,1,1,1000.0
20,0,3,3,5,9,49,8,0,0,0.01
21,0,0,0,3,3,50,3,0,0,9800.0
22,0,0,2,2,15,35,5,1,1,1630.0
23,0,0,2,1,10,71,5,0,0,1500.0
24,0,1,2,5,7,44,1,0,0,1000.0
25,1,1,3,1,8,42,5,0,0,0.01
26,0,4,0,1,9,68,5,1,1,6053.25
27,0,1,3,3,9,31,4,0,0,0.01
28,0,3,0,1,8,70,15,0,0,19053.82
29,0,1,1,4,7,72,3,0,0,20526.96
30,0,1,0,5,9,37,1,1,1,6000.0
31,0,1,0,2,8,58,7,0,0,10053.35
32,0,3,2,3,7,47,5,0,0,0.02
33,1,0,2,4,8,71,6,0,0,1000.0
34,0,0,2,3,8,62,5,1,1,1000.0
35,0,0,2,4,8,39,4,1,1,2241.36
36,1,0,0,3,6,76,19,0,0,12000.0
37,0,2,0,1,7,61,11,1,1,6000.0
38,1,1,2,2,8,60,11,1,1,60.0
39,0,3,3,5,15,42,5,1,1,0.01
40,0,0,2,4,10,57,11,0,0,50.0
41,1,0,3,5,6,45,4,0,0,0.01
42,0,0,2,1,11,75,8,1,1,3052.66
43,0,1,3,4,8,37,5,1,1,0.01
44,0,1,3,0,19,39,8,3,1,0.01
45,1,2,0,1,8,57,9,0,0,9000.0
46,0,3,0,2,13,18,1,0,0,6000.0
47,0,1,0,3,9,50,4,0,0,20000.0
48,0,0,2,4,7,78,24,0,0,2000.0
49,0,0,3,2,5,61,5,0,0,0.01
50,0,3,2,0,11,66,5,0,0,2000.0
51,1,0,2,2,9,48,2,0,0,3000.0
52,0,3,2,2,8,53,1,0,0,100.0
53,0,3,3,4,9,68,7,0,0,0.01
54,0,2,3,0,8,47,5,0,0,0.01
55,0,3,2,4,11,39,1,1,1,2800.0
56,0,3,3,0,12,72,8,0,0,0.01
57,1,3,0,4,10,67,4,0,0,6000.0
58,0,3,3,2,9,60,8,0,0,0.01
59,1,1,3,5,11,52,9,0,0,0.01
60,0,0,3,3,7,55,8,0,0,0.01
61,1,3,3,1,13,41,7,1,1,0.01
62,0,0,2,3,16,34,3,2,1,3000.0
63,0,1,2,3,6,40,7,1,1,1500.0
64,0,3,3,5,9,35,4,1,1,0.01
65,1,1,2,1,7,50,10,0,0,5000.0
66,1,0,0,2,9,60,5,0,0,8100.0
67,0,1,0,1,8,49,4,0,0,7600.0
68,1,0,2,5,6,57,8,0,0,2000.0
69,1,2,0,5,6,75,17,0,0,10000.0
70,0,1,2,2,8,52,6,1,1,2500.0
71,0,0,0,0,12,74,5,0,0,6000.0
72,0,3,2,3,9,79,5,0,0,5000.0
73,0,1,2,5,3,38,9,1,1,50.0
74,0,1,2,1,9,58,5,0,0,5000.0
75,1,0,2,3,4,52,4,0,0,1800.0
76,0,1,2,5,3,45,9,0,0,100.01
77,0,1,2,5,9,42,4,0,0,2000.0
78,0,3,3,2,11,27,7,2,1,0.01
79,0,1,3,4,4,60,8,0,0,0.01
80,1,1,3,3,7,42,4,0,0,0.01
81,0,3,3,3,4,57,5,0,0,0.01
82,0,0,0,2,10,72,8,0,0,11105.32
83,0,1,3,5,7,37,5,0,0,0.01
84,0,0,2,5,9,76,8,1,1,2000.0
85,0,1,3,3,6,45,5,0,0,0.01
86,0,2,2,1,12,61,1,0,0,4000.0
87,0,0,3,3,5,56,9,0,0,0.01
88,0,1,0,5,8,51,8,0,0,9000.01
89,0,3,0,2,9,50,2,0,0,12000.0
90,0,3,2,1,8,41,7,1,1,1675.0
91,1,3,2,1,8,60,8,0,0,100.01
92,0,3,2,1,10,70,8,0,0,2250.0
93,0,3,3,3,9,50,9,1,1,0.01
94,0,0,3,5,15,37,8,1,1,0.01
95,0,3,2,2,9,74,5,0,0,3000.0
96,1,2,0,1,9,53,4,0,0,6000.0
97,0,1,2,3,7,51,10,0,0,3026.67
98,0,1,1,3,5,62,7,0,0,56053.35
99,0,3,2,2,3,46,10,0,0,0.1
100,1,1,0,4,10,39,2,1,1,7500.0
101,1,3,2,4,6,53,6,1,1,3000.0
102,0,3,2,2,7,48,4,0,0,5000.0
103,0,3,0,1,7,62,11,0,0,12808.95
104,1,3,2,1,9,26,1,0,0,4000.0
105,0,4,0,4,6,43,2,0,0,6000.0
106,0,0,0,4,7,78,5,0,0,6000.0
107,0,0,0,2,3,67,3,0,0,12049.25
108,0,1,3,3,2,45,5,0,0,0.01
109,0,3,0,4,13,68,6,0,0,7500.0
110,1,0,3,3,5,53,8,0,0,0.01
111,1,2,2,2,5,51,8,0,0,420.0
112,0,3,2,5,6,51,1,0,0,200.0
113,1,3,3,2,11,36,4,0,0,0.01
114,0,0,0,5,8,63,2,0,0,6000.0
115,0,3,2,2,8,69,9,0,0,500.0
116,0,0,3,3,11,40,5,1,1,0.01
117,0,0,2,4,4,46,11,0,0,2165.75
118,0,3,2,0,8,46,11,1,1,2245.0
119,0,1,3,3,9,38,5,1,1,0.01
120,1,1,0,5,4,67,5,0,0,11000.0
121,0,2,0,1,5,53,8,0,0,9000.0
122,0,0,2,4,6,55,4,1,1,5000.0
123,0,3,2,0,9,54,8,0,0,3000.0
124,1,3,3,5,6,45,5,0,0,0.01
