date,id,username,text,pm
2019-01-16 23:59:21+00:00,1085687985583128578,dunyabulteni,Theresa May'den muhalefet partilerine Brexit için birlik çağrısı https://www.dunyabulteni.net/avrupa/theresa-may-den-muhalefet-partilerine-brexit-icin-birlik-cagrisi-h436427.html,may
2019-01-16 23:59:15+00:00,1085687961713369089,crimsontazvinzw,Brexit deal: MPs pressure Theresa May to adopt Norway model as ‘Plan B’ Brexit https://aiwa.press/2019/01/16/brexit-deal-mps-pressure-theresa-may-to-adopt-norway-model-as-plan-b-brexit/ via @crimsontazvinzw,may
2019-01-16 23:59:08+00:00,1085687931443052544,Cornwall4EU,"""Overwhelmingly the British people want us to get on with delivering Brexit,"" claims @theresa_may. Theresa, you may need to get out a bit more. Overwhelmingly the people we speak to in towns across #Cornwall every week think #Brexit is rubbish &amp; want a #PeoplesVote.",may
2019-01-16 23:59:07+00:00,1085687926007255041,hamsterbones1,"Living for the day i can go for 7 seconds without being reminded of brexit, theresa may or politics in general. I WANT MY LIFE BACK #Brexit #NoConfidenceMotion #TheresaMay",may
2019-01-16 23:59:00+00:00,1085687897355964421,jacquiBSting,Speaking of Trust and Consumers; I’m a consumer of you goods over here in UK! What do you make of Theresa May and her BREXIT scam?,may
2019-01-16 23:58:58+00:00,1085687890116530176,crimsontazvinzw,Brexit deal: MPs pressure Theresa May to adopt Norway model as ‘Plan B’ Brexit http://aiwa.press/2019/01/16/brexit-deal-mps-pressure-theresa-may-to-adopt-norway-model-as-plan-b-brexit/,may
2019-01-16 23:58:52+00:00,1085687865265266688,Kellie2727Paula,Theresa May's Brexit Deal -- Prime Minister Loses and Wins | National Review ,may
2019-01-16 23:58:46+00:00,1085687840036536322,Alanedbred,"""Overwhelmingly the British people want us to get on with delivering Brexit"". interesting - and completely incorrect- use of word ""overwhelming"" @theresa_may baed on what exactly? 52%? Garbage!",may
2019-01-16 23:58:32+00:00,1085687778397040641,Gockrim,Pretty sure any other job you get a 6 month probation period. Theresa May has had 2 years to try do her job and still can’t. If this was Tesco she’d be sacked. #brexit,may
2019-01-16 23:58:31+00:00,1085687774492135429,I_R_DyLaNe,Wait so what was Theresa’s response to Corbyn earlier requests to talk about brexit? That’s ok. I’ll wait,may
2019-01-16 23:58:28+00:00,1085687764786561024,dipsydolittle,@theresa_may @10DowningStreet Have you asked @LUFC's Bielsa for a meeting to discuss #brexit? Given the immense detail shown in his conference today I am sure he would have an idea or two #LUFC,may
2019-01-16 23:58:20+00:00,1085687730099638272,Sentinel0764,The only reason she is still PM is because the rest of the MPs are to scared to take the position after UK ruined itself with Brexit. How Theresa May keeps on keeping on ,may
