username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
jlrlawton,,"I'm the only lefty in my office, so I've had a lot of ""Boris is an idiot, but I really don't like Corbyn"" chats. Honestly, I feel worse now than I did the morning after Brexit. (My boss backed Brexit, so I handed my notice in)",0,0,1,1205276142040682497,https://twitter.com/jlrlawton/status/1205276142040682497,3425355753,2019-12-12 23:59:59+00:00,Thu Dec 12 23:59:59 +0000 2019,,,,
ManxFreeState,Peston,English voters hanging themselves on their own #Brexit petard - bonne chance ,0,2,0,1205276141604528129,https://twitter.com/ManxFreeState/status/1205276141604528129,1007034649,2019-12-12 23:59:59+00:00,Thu Dec 12 23:59:59 +0000 2019,#Brexit,,,https://twitter.com/Peston/status/1205273732316618757
AlresfordBear,,But why was Blyth expected to stay. If it had a different candidate. And also a Brexit area. Odd to suggest it anomalous to swing massively. Sounds like it was odds on,0,0,0,1205276140530733056,https://twitter.com/AlresfordBear/status/1205276140530733056,128352598,2019-12-12 23:59:59+00:00,Thu Dec 12 23:59:59 +0000 2019,,,,
ramsay_baggins,blackmagpie, Love that woman. Only politician with her head on straight since Brexit. Except @MhairiBlack - she's good too.,0,3,1,1205276140513964032,https://twitter.com/ramsay_baggins/status/1205276140513964032,946467277,2019-12-12 23:59:59+00:00,Thu Dec 12 23:59:59 +0000 2019,,@MhairiBlack,,
askegg,,Who will Britain blame when Brexit crashes their economy?,0,4,4,1205276140278960128,https://twitter.com/askegg/status/1205276140278960128,14300436,2019-12-12 23:59:59+00:00,Thu Dec 12 23:59:59 +0000 2019,,,,
LancashireJules,rowan_caleb,"Your 1st words - hope you Tory voters enjoy Brexit. I voted remain 2016. I lost. I believe in democracy, we should've left already. This election should never happened, I voted Tory to leave as was decided 2016. End of. Go to bed child",0,0,0,1205276139150880768,https://twitter.com/LancashireJules/status/1205276139150880768,2763508571,2019-12-12 23:59:59+00:00,Thu Dec 12 23:59:59 +0000 2019,,,,
nazzy_34,,Oh well unlucky Corbyn. Most the shit you promised probably wasn’t happening. Everyone stop overreacting with the NHS nothing drastic will happen. Be ready for Brexit. If you’re not a british citizen pack your bags brother ,0,1,0,1205276138815344640,https://twitter.com/nazzy_34/status/1205276138815344640,1068601552775069700,2019-12-12 23:59:59+00:00,Thu Dec 12 23:59:59 +0000 2019,,,,
Thesearethedamn,FabRadioInt,Well it could be the prefect result for the poor. Labour turned it's back on the works with brexit. And now the tories wont get brexit done and poverty will rise and the poor may final stop shopping and get up of their arse and demand money reform and nationalization of the banks,0,0,0,1205276138374864896,https://twitter.com/Thesearethedamn/status/1205276138374864896,3129442343,2019-12-12 23:59:58+00:00,Thu Dec 12 23:59:58 +0000 2019,,,,
Burdis797,,"Blyth, a former mining town that now trades with Scandinavian countries for its imports, has voted for Tories and Brexit. There really isn’t a better case to show all these fucking turkeys voting for Christmas",0,3,0,1205276138278440960,https://twitter.com/Burdis797/status/1205276138278440960,2901635271,2019-12-12 23:59:58+00:00,Thu Dec 12 23:59:58 +0000 2019,,,,
Maximus_4EVR,AJLovesUSA,Republicans take note: @BorisJohnson WON #UKelection2019 bigly by unabashedly describing his opponents as leftwing anti-Semitic Globalists with Communist sympathies who were trying to undue the results of an election. #Brexit #MAGA,43,48,2,1205276137200340992,https://twitter.com/Maximus_4EVR/status/1205276137200340992,4312282894,2019-12-12 23:59:58+00:00,Thu Dec 12 23:59:58 +0000 2019,#UKelection2019 #Brexit #MAGA,@BorisJohnson,,
annetteashley61,thefishareloose,Why did Corbyn agreed to a GE now & FFS make him resign ? Labour attacked tactical voting for remain MP & attacked all liberal democrats Labour stood on pro Brexit platform 2017 &amp; lost Labour standing on pro Brexit platform 2019 &amp; now have failed to protect NHS from Tories ,0,1,0,1205276136965574657,https://twitter.com/annetteashley61/status/1205276136965574657,750781552053878788,2019-12-12 23:59:58+00:00,Thu Dec 12 23:59:58 +0000 2019,,,,
georgewest54,brexitparty_uk,Farage the master mind of Brexit ,0,0,1,1205276135875137536,https://twitter.com/georgewest54/status/1205276135875137536,2743055141,2019-12-12 23:59:58+00:00,Thu Dec 12 23:59:58 +0000 2019,,,,https://twitter.com/brexitparty_uk/status/1205273668751896578
OpinionYP,,"As #BorisJohnson says #GE2019 result is a mandate for his #Brexit, how does he square this with #Scotland where #SNP are predicted to win by landslide and will demand #indyref2020 #UKElection",1,4,0,1205276135824736258,https://twitter.com/OpinionYP/status/1205276135824736258,1357289328,2019-12-12 23:59:58+00:00,Thu Dec 12 23:59:58 +0000 2019,#BorisJohnson #GE2019 #Brexit #Scotland #SNP #indyref2020 #UKElection,,,
reaodunlaing,,So #Brexit looks like it's still on. Now we need to go regional with the politics or #Ulster is fucked.,0,0,0,1205276135770251264,https://twitter.com/reaodunlaing/status/1205276135770251264,1186735970365956097,2019-12-12 23:59:58+00:00,Thu Dec 12 23:59:58 +0000 2019,#Brexit #Ulster,,,
CllrDavidMartin,OwenJones84,"Brexit did not smash you. You smashed yourselves over Brexit. Had you honoured the referendum result, this would not have happened. ",2,4,0,1205276133996019713,https://twitter.com/CllrDavidMartin/status/1205276133996019713,1667387035,2019-12-12 23:59:57+00:00,Thu Dec 12 23:59:57 +0000 2019,,,,https://twitter.com/OwenJones84/status/1205246679835910145
TrumpAmore,tomhfh,"Big Facts! I’m cheering you guys on from New Orleans, Louisiana. Also praying Article 50 is finally implemented & you guys have a clean Brexit. Everything else is BRINO. Get it done. We have your backs. XoXo",0,0,0,1205276133715070979,https://twitter.com/TrumpAmore/status/1205276133715070979,2993563859,2019-12-12 23:59:57+00:00,Thu Dec 12 23:59:57 +0000 2019,,,,
Leesouthwest,MartinRossiter,"I agree with that Martin. Ignoring the referendum result caused tonight's result, would of been much more interesting if Brexit wasn't the biggest issue.",0,0,0,1205276133698109440,https://twitter.com/Leesouthwest/status/1205276133698109440,307217611,2019-12-12 23:59:57+00:00,Thu Dec 12 23:59:57 +0000 2019,,,,
grumpyoldmale1,colinrtalbot,"Still arguing over the 'brexit betrayal' because the promised sunny uplands of running herds of unicorns was frustrated by........., fill in name(s) of any scapegoat!",0,0,0,1205276131718549504,https://twitter.com/grumpyoldmale1/status/1205276131718549504,765200329780654081,2019-12-12 23:59:57+00:00,Thu Dec 12 23:59:57 +0000 2019,,,,
Sam_SB3,AshExplores,"I think the focus should be on raising the wealth of the lowest incomes in society more than inequality no? An increase in employment might not mean it isn’t working, I would say the effect has been mitigated by brexit uncertainty and investment freezes. What’s an alternative?",0,1,1,1205276131546599424,https://twitter.com/Sam_SB3/status/1205276131546599424,1164502213168906240,2019-12-12 23:59:57+00:00,Thu Dec 12 23:59:57 +0000 2019,,,,
Diegotbr,gugtavas,O partido brexit foi bem ao q parece...,0,0,0,1205276130468597760,https://twitter.com/Diegotbr/status/1205276130468597760,43004021,2019-12-12 23:59:57+00:00,Thu Dec 12 23:59:57 +0000 2019,,,,
WillGoodwyn,penfold_amanda,Thy tried to make the election bout more than just brexit so they didn't lose votes to either side.,0,0,0,1205276129894043648,https://twitter.com/WillGoodwyn/status/1205276129894043648,826790996549709824,2019-12-12 23:59:56+00:00,Thu Dec 12 23:59:56 +0000 2019,,,,
_scottlove,OwenJones84,Let’s get Brexit done,0,0,0,1205276128346361856,https://twitter.com/_scottlove/status/1205276128346361856,2889288202,2019-12-12 23:59:56+00:00,Thu Dec 12 23:59:56 +0000 2019,,,,
mFoGm,bbclaurak,Love your planning brexit won't be done by Jan 31st you know this sit down Tory bot,0,0,0,1205276127943630849,https://twitter.com/mFoGm/status/1205276127943630849,19927339,2019-12-12 23:59:56+00:00,Thu Dec 12 23:59:56 +0000 2019,,,,
