username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
fallible_fella,JolyonMaugham,‘Plastic patriots willing to whip up hatred’ a phrase that nails the motivation and mechanisms of Brexit for some. ,0,0,0,1093660655830351873,https://twitter.com/fallible_fella/status/1093660655830351873,19151598,2019-02-07 23:59:54+00:00,Thu Feb 07 23:59:54 +0000 2019,,,,https://twitter.com/JolyonMaugham/status/1093544790187278339
TonightVMTV,,Friday's papers: #NationalChildrensHospital #NursesStrike #Brexit #TonightVMTV,2,3,1,1093660653775147008,https://twitter.com/TonightVMTV/status/1093660653775147008,1204418652,2019-02-07 23:59:53+00:00,Thu Feb 07 23:59:53 +0000 2019,#NationalChildrensHospital #NursesStrike #Brexit #TonightVMTV,,,
gillian44smith,EuroGuido,"That will, of course, be despite Brexit.",0,0,0,1093660638793089024,https://twitter.com/gillian44smith/status/1093660638793089024,702932802803777536,2019-02-07 23:59:50+00:00,Thu Feb 07 23:59:50 +0000 2019,,,,
putneyclaire,,This dress was like a pre-cursor to #Brexit Remainers/Brexiteers seeing and hearing entirely different things and entirely unconvinced by the other side. ,1,4,1,1093660618715025408,https://twitter.com/putneyclaire/status/1093660618715025408,941079647218958336,2019-02-07 23:59:45+00:00,Thu Feb 07 23:59:45 +0000 2019,#Brexit,,,
QuixoticGoals,,Cut-price Australian beef could flood UK market under no-deal #Brexit ,0,0,0,1093660616559079425,https://twitter.com/QuixoticGoals/status/1093660616559079425,1021892982579122176,2019-02-07 23:59:44+00:00,Thu Feb 07 23:59:44 +0000 2019,#Brexit,,,https://www.smh.com.au/world/europe/cut-price-australian-beef-could-flood-uk-market-under-no-deal-brexit-20190207-p50wf3.html
pwsimerimiaw,melb4886,"No he didn't, it was Peter Bone MP who tried to blame leavers, passing down the blame as usual. He put on a ""pity me"" look, almost breaking his heart act to say how hurt he was to hear he should go to hell for about his precious brexit,It was a classical psychopathic act, classic",0,1,0,1093660600817848320,https://twitter.com/pwsimerimiaw/status/1093660600817848320,68256895,2019-02-07 23:59:41+00:00,Thu Feb 07 23:59:41 +0000 2019,,,,
granhelen1945,TheHeraldEditor,The Tolies are calling it the BREXIT STRESS SINDRUM a GLESCA KISS is whit he needs along way a gid few ithers,0,0,0,1093660592395689984,https://twitter.com/granhelen1945/status/1093660592395689984,4601601375,2019-02-07 23:59:39+00:00,Thu Feb 07 23:59:39 +0000 2019,,,,
Ianmac1959,MammothWhale,What exactly has Brexit go to do with Ross Thomson?.,0,0,0,1093660579951230977,https://twitter.com/Ianmac1959/status/1093660579951230977,270984211,2019-02-07 23:59:36+00:00,Thu Feb 07 23:59:36 +0000 2019,,,,
centrist_rascal,davison_al,If Corbyn backs any Brexit I will be forced to vote LD....,0,0,2,1093660563773816838,https://twitter.com/centrist_rascal/status/1093660563773816838,53557515,2019-02-07 23:59:32+00:00,Thu Feb 07 23:59:32 +0000 2019,,,,
mygibbo,,Steve Bell on Jeremy Corbyn's Brexit offer to Theresa May – cartoon ,1,3,0,1093660552981827585,https://twitter.com/mygibbo/status/1093660552981827585,229500113,2019-02-07 23:59:29+00:00,Thu Feb 07 23:59:29 +0000 2019,,,,https://www.theguardian.com/commentisfree/picture/2019/feb/07/steve-bell-on-jeremy-corbyns-brexit-offer-to-theresa-may-cartoon?CMP=share_btn_tw
richard62467632,jonworth,Yet another great win for brexit,0,0,0,1093660537362280449,https://twitter.com/richard62467632/status/1093660537362280449,1040373714456662017,2019-02-07 23:59:25+00:00,Thu Feb 07 23:59:25 +0000 2019,,,,
stylethefuture,politicallost2,My proof is your feed muppet! That says uber right winger brexit lover to me.,0,0,1,1093660535357431808,https://twitter.com/stylethefuture/status/1093660535357431808,2657754290,2019-02-07 23:59:25+00:00,Thu Feb 07 23:59:25 +0000 2019,,,,
