username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
brexit_clock,,"Time until BREXIT is 136 days, 22 hours, 59 minutes and 59 seconds #BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE #ScotRef #Indyref #Indyref2 #FBPE",0,2,0,1062132933350178816,https://twitter.com/brexit_clock/status/1062132933350178816,931571397280845824,2018-11-12 23:59:59+00:00,Mon Nov 12 23:59:59 +0000 2018,#BREXIT #BREXITCLOCK #CLOCK #EU #EUREF #LEAVE #ScotRef #Indyref #Indyref2 #FBPE,,,
LighteningBolt9,,London Office Market Still Booming Despite Brexit https://order-order.com/2018/11/12/london-office-market-still-booming-despite-brexit/ via @GuidoFawkes @DVATW @cheekylatte @secretstranger9 @LeaveMnsLeave,3,2,0,1062132890786586624,https://twitter.com/LighteningBolt9/status/1062132890786586624,963238016457347072,2018-11-12 23:59:49+00:00,Mon Nov 12 23:59:49 +0000 2018,,@GuidoFawkes @DVATW @cheekylatte @secretstranger9 @LeaveMnsLeave,,https://order-order.com/2018/11/12/london-office-market-still-booming-despite-brexit/
francliffe,,'[BREXIT] is either there or it isn't. It's by all means unary' Tory MP on @BBCBreakfast after just finishing a Phonology textbook,0,0,0,1062132870171582464,https://twitter.com/francliffe/status/1062132870171582464,34355013,2018-11-12 23:59:44+00:00,Mon Nov 12 23:59:44 +0000 2018,,@BBCBreakfast,,
MarinaRobb,uk_domain_names,"This thread tells the damage that ""Brexit means Brexit"" has already done... ",2,4,0,1062132862382759937,https://twitter.com/MarinaRobb/status/1062132862382759937,46047968,2018-11-12 23:59:42+00:00,Mon Nov 12 23:59:42 +0000 2018,,,,https://twitter.com/uk_domain_names/status/1061554026284834817
DintingerTim,FickleSarky,"Population curves are interesting things, show how populations slow down their growth illness, disease etc. I wonder whether brexit is a little like that, or the effects will certainly be.... Regression, what a pile of crap",0,1,0,1062132860365271040,https://twitter.com/DintingerTim/status/1062132860365271040,1010423236084068352,2018-11-12 23:59:42+00:00,Mon Nov 12 23:59:42 +0000 2018,,,,
kssdhr,,https://scenarieconomici.it/il-17-novembre-iniziera-la-rivoluzione-in-francia/ #Salvini #primagliitaliani #Lega #LuigiDiMaio #sapevatelo #France #UE #Brexit,1,1,0,1062132847123808257,https://twitter.com/kssdhr/status/1062132847123808257,523625151,2018-11-12 23:59:38+00:00,Mon Nov 12 23:59:38 +0000 2018,#Salvini #primagliitaliani #Lega #LuigiDiMaio #sapevatelo #France #UE #Brexit,,,https://scenarieconomici.it/il-17-novembre-iniziera-la-rivoluzione-in-francia/
VeuveK,rosebudorson,Will you grant asylum to brexit exiles? Please please...,0,3,2,1062132824118050816,https://twitter.com/VeuveK/status/1062132824118050816,1026238178502561792,2018-11-12 23:59:33+00:00,Mon Nov 12 23:59:33 +0000 2018,,,,
FrankFibre,BBCNewsnight,That would sound good / if it was not for the fact that @theresa_may was so full of herself she said we would have a future trading relationship agreed by now - but we haven’t even got a withdrawal agreement done!!! #brexit is a disaster #stopbrexit #fbpe,0,1,0,1062132822276784134,https://twitter.com/FrankFibre/status/1062132822276784134,989433030711406592,2018-11-12 23:59:32+00:00,Mon Nov 12 23:59:32 +0000 2018,#brexit #stopbrexit #fbpe,@theresa_may,,
jediknight1985,jediknight1985,"The 'more likely' could be an expression of people in RoI, of the polarization effect of Brexit, &amp; the likely effect that will have on the case for unity. I think that may explain the fuzziness in the RoI figures. The NI figures are really revealing. We are all in new territory.",0,0,0,1062132813900800000,https://twitter.com/jediknight1985/status/1062132813900800000,279600861,2018-11-12 23:59:30+00:00,Mon Nov 12 23:59:30 +0000 2018,,,,
twaddleninja,,"NHS faces £2.3bn cost of no-deal Brexit, report warns https://ift.tt/2qH75cr",0,0,0,1062132790366556160,https://twitter.com/twaddleninja/status/1062132790366556160,260797032,2018-11-12 23:59:25+00:00,Mon Nov 12 23:59:25 +0000 2018,,,,https://ift.tt/2qH75cr
